MACRO_GENSPECIES,FINAL_ID,MMS_TOLERANCE,MMS_TOLERANCE_NAME,MMS_NBI_PHOSPHORUS_TOL,MMS_NBI_NITRATE_TOL,MMS_FEEDING_HABITS,MMS_REFERENCE,MMS_PREV_NAME,MMS_INTEGR_TAXONOMIC_INFO_SYS,MMS_KINGDOM,MMS_SUBKINGDOM,MMS_INFRAKINGDOM,MMS_SUPERPHYLUM,MMS_PHYLUM,MMS_SUBPHYLUM,MMS_CLASS,MMS_SUBCLASS,MMS_INFRACLASS,MMS_SUPERORDER,MMS_ORDER,MMS_SUBORDER,MMS_INFRAORDER,MMS_SUPERFAMILY,MMS_FAMILY,MMS_SUBFAMILY,MMS_TRIBE,MMS_GENUS,MMS_SPECIES,MSTR_MACRO_SPECIES_ID,MMS_CLASSIFIER,MMS_COMMON_NAME,MMS_WATER_QLTY_EXCHANGE_NAME,MMS_WQX_UNIDENTIFD_SPECEIS_NAME
POTAMYIA SP.,POTAMYIA_SP.,5,facultative,,,filterer,125,,115551,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,,,hydropsychoidea,hydropsychidae,hydropsychinae,,potamyia,,,,,,
POTTHASTIA GAEDII GR.,POTTHASTIA_GAEDII_GR.,2,intolerant,9,10,gatherer,"124,36","potthastia_gaedii,_smittia_sp.,_sympotthastia_sp.",128409,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,diamesinae,diamesini,potthastia,potthastia_gaedii,,,,,
POTTHASTIA LONGIMANA GR.,POTTHASTIA_LONGIMANA_GR.,2,intolerant,,,gatherer,"105,36","potthastia_longimana,_potthastia_sp.",128412,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,diamesinae,diamesini,potthastia,potthastia_longimana,,,,,
POTTHASTIA SP.,POTTHASTIA_SP.,2,intolerant,,,gatherer,36,,128408,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,diamesinae,diamesini,potthastia,,,,,,
PRISTINA AEQUISETA,PRISTINA_AEQUISETA,8,tolerant,,,gatherer,"18,83",pristina_foreli,68879,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,pristininae,,pristina,pristina_aequiseta,,,,,
PRISTINA BREVISETA,PRISTINA_BREVISETA,8,tolerant,,,gatherer,"18,83",,68880,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,pristininae,,pristina,pristina_breviseta,,,,,
PRISTINA LEIDYI,PRISTINA_LEIDYI,8,tolerant,,,gatherer,"18,83",,68894,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,pristininae,,pristina,pristina_leidyi,,,,,
PRISTINA MENONI,PRISTINA_MENONI,8,tolerant,,,gatherer,"18,83",,68886,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,pristininae,,pristina,pristina_menoni,,,,,
PRISTINA SP.,PRISTINA_SP.,8,tolerant,,,gatherer,"18,83",,68876,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,pristininae,,pristina,,,,,,
PRISTINA SYNCLITES,PRISTINA_SYNCLITES,8,tolerant,,,gatherer,"18,83",,68895,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,pristininae,,pristina,pristina_synclites,,,,,
PRISTINELLA JENKINAE,PRISTINELLA_JENKINAE,8,tolerant,,,gatherer,"18,83",,974770,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,pristininae,,pristina,pristina_jenkinae,,,,,
PRISTINELLA OSBORNI,PRISTINELLA_OSBORNI,8,tolerant,,,gatherer,"18,83","pristina_osborni,_pristina_sima,_naidium_sp.,_naidium_sp._1",68887,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,pristininae,,pristina,pristina_osborni,,,,,
PRISTINELLA SP.,PRISTINELLA_SP.,8,tolerant,,,gatherer,"18,83",,68876,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,pristininae,,pristina,,,,,,
PROBEZZIA SP.,PROBEZZIA_SP.,6,facultative,,,predator,83,,127729,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,ceratopogonidae,ceratopogoninae,sphaeromiini,probezzia,,,,,,
PROBEZZIA SP. 1,PROBEZZIA_SP._1,6,facultative,,,predator,83,,127729,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,ceratopogonidae,ceratopogoninae,sphaeromiini,probezzia,,,,,,
PROBEZZIA SP. 2,PROBEZZIA_SP._2,6,facultative,,,predator,83,,127729,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,ceratopogonidae,ceratopogoninae,sphaeromiini,probezzia,,,,,,
PROBYTHINELLA LACUSTRIS,PROBYTHINELLA_LACUSTRIS,8,tolerant,,,scraper,"60,83",,70508,animalia,bilateria,protostomia,lophozoa,mollusca,,gastropoda,,,,neotaenioglossa,,,,hydrobiidae,,,probythinella,probythinella_lacustris,,,,,
PROBYTHINELLA SP.,PROBYTHINELLA_SP.,8,tolerant,,,scraper,"60,83",,70505,animalia,bilateria,protostomia,lophozoa,mollusca,,gastropoda,,,,neotaenioglossa,,,,hydrobiidae,,,probythinella,,,,,,
PROCLADIUS (HOLOTANYPUS) SP.,PROCLADIUS_(HOLOTANYPUS)_SP.,7,facultative,,,predator,36,,128277,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,procladiini,procladius,,,,,,
PROCLADIUS BELLUS,PROCLADIUS_BELLUS,9,tolerant,,,predator,93,,128285,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,procladiini,procladius,procladius_bellus,,,,,
PROCLADIUS SP.,PROCLADIUS_SP.,9,tolerant,,,predator,93,,128277,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,procladiini,procladius,,,,,,
PROCLADIUS SUBLETTEI,PROCLADIUS_SUBLETTEI,9,tolerant,,,predator,93,procladius_sp.,128316,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,procladiini,procladius,procladius_sublettei,,,,,
PROCLOEON RIVULARE,PROCLOEON_RIVULARE,6,facultative,,,gatherer,83,,609576,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,procloeon,procloeon_rivulare,,,,,
PROCLOEON SP.,PROCLOEON_SP.,6,facultative,,,gatherer,83,,206622,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,procloeon,,,,,,
PRODIAMESA OLIVACEA,PRODIAMESA_OLIVACEA,8,tolerant,,,gatherer,124,prodiamesa_sp._1,128454,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,prodiamesinae,,prodiamesa,prodiamesa_olivacea,,,,,
PRODIAMESA SP.,PRODIAMESA_SP.,8,tolerant,,,gatherer,83,,128452,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,prodiamesinae,,prodiamesa,,,,,,
PRODIAMESA SP. 2,PRODIAMESA_SP._2,8,tolerant,,,gatherer,83,,128452,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,prodiamesinae,,prodiamesa,,,,,,
PROMORESIA ELEGANS,PROMORESIA_ELEGANS,2,intolerant,10,10,scraper,19,gonielmis_dietrichi,1065305,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,coleoptera,polyphaga,elateriformia,byrrhoidea,elmidae,elminae,elmini,optioservus,optioservus_elegans,,,,,
PROMORESIA SP.,PROMORESIA_SP.,2,intolerant,,,scraper,"83,19",,114177,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,coleoptera,polyphaga,elateriformia,byrrhoidea,elmidae,elminae,elmini,optioservus,,,,,,
PROMORESIA TARDELLA,PROMORESIA_TARDELLA,2,intolerant,,,scraper,19,,1065306,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,coleoptera,polyphaga,elateriformia,byrrhoidea,elmidae,elminae,elmini,optioservus,optioservus_tardellus,,,,,
PROSIMULIUM ARVUM,PROSIMULIUM_ARVUM,2,intolerant,,,filterer,130,prosimulium_hirtipes,126707,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,simuliidae,simuliinae,prosimuliini,prosimulium,prosimulium_arvum,,,,,
PROSIMULIUM CLANDESTINUM,PROSIMULIUM_CLANDESTINUM,2,intolerant,,,filterer,130,,126703,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,simuliidae,simuliinae,prosimuliini,prosimulium,prosimulium_clandestinum,,,,,
PROSIMULIUM FUSCUM,PROSIMULIUM_FUSCUM,2,intolerant,,,filterer,130,,126728,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,simuliidae,simuliinae,prosimuliini,prosimulium,prosimulium_fuscum,,,,,
PROSIMULIUM MAGNUM,PROSIMULIUM_MAGNUM,1,intolerant,,,filterer,"115,128",,126733,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,simuliidae,simuliinae,prosimuliini,prosimulium,prosimulium_magnum,,,,,
PROSIMULIUM RHIZOPHORUM,PROSIMULIUM_RHIZOPHORUM,2,intolerant,,,filterer,"115,128",,126746,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,simuliidae,simuliinae,prosimuliini,prosimulium,prosimulium_rhizophorum,,,,,
PROSIMULIUM SP.,PROSIMULIUM_SP.,2,intolerant,,,filterer,"115,128",,126703,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,simuliidae,simuliinae,prosimuliini,prosimulium,,,,,,
PROSTOIA SP.,PROSTOIA_SP.,2,intolerant,,,shredder,83,,102584,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,euholognatha,,,nemouridae,nemourinae,,prostoia,,,,,,
PROSTOMA GRAECENSE,PROSTOMA_GRAECENSE,8,tolerant,2,7,predator,108,,57578,animalia,bilateria,protostomia,lophozoa,nemertea,,enopla,,,,hoplonemertea,monostilifera,,,tetrastemmatidae,,,prostoma,prostoma_graecense,,,,,
